exercise,date,sets,weight,reps,e1rm,_row_id
Жим,2025-12-24,1.0,60.0,6.0,72.0,0
Жим,2025-12-24,1.0,70.0,4.0,79.33333333333333,1
Жим,2025-12-24,1.0,80.0,3.0,88.0,2
Становая сумо,2025-12-24,3.0,85.0,4.0,96.33333333333333,3
Бабочка,2025-12-25,1.0,55.0,12.0,77.0,4
Бабочка,2025-12-25,1.0,66.0,10.5,89.10000000000001,5
Бицепс,2025-12-25,1.0,12.0,24.0,21.6,6
Бицепс,2025-12-25,1.0,14.0,24.0,25.2,7
Бицепс,2025-12-25,1.0,16.0,16.0,24.53333333333333,8
Жим,2025-12-25,5.0,60.0,5.0,70.0,9
Подтягивания широкие,2025-12-26,2.0,69.0,5.0,80.5,10
Подтягивания широкие,2025-12-26,1.0,69.0,10.0,92.0,11
Подтягивания широкие,2025-12-26,1.0,69.0,13.0,98.9,12
Подтягивания широкие,2025-12-26,1.0,69.0,15.0,103.5,13
Отжимания,2025-12-27,2.0,69.0,25.0,126.50000000000001,14
Подтягивания широкие,2025-12-27,2.0,69.0,10.0,92.0,15
Подтягивания широкие,2025-12-28,1.0,69.0,5.0,80.5,16
Подтягивания широкие,2025-12-28,6.0,69.0,10.0,92.0,17
Отжимания,2025-12-29,1.0,69.0,25.0,126.50000000000001,18
Подтягивания широкие,2025-12-29,1.0,69.0,10.0,92.0,19
Отжимания,2025-12-31,2.0,69.0,26.0,128.8,20
Подтягивания широкие,2025-12-31,13.0,69.0,5.0,80.5,21
Бицепс,2026-01-03,1.0,12.0,24.0,21.6,22
Бицепс,2026-01-03,1.0,14.0,24.0,25.2,23
Подтягивания,2026-01-03,1.0,69.0,12.0,96.6,24
Становая сумо,2026-01-03,2.0,90.0,4.0,102.0,25
Становая сумо,2026-01-03,1.0,100.0,3.0,110.00000000000001,26
Сундук,2026-01-03,1.0,60.0,12.0,84.0,27
Сундук,2026-01-03,1.0,80.0,12.0,112.0,28
Жим,2026-01-05,1.0,60.0,5.0,70.0,29
Жим,2026-01-05,4.0,70.0,4.0,79.33333333333333,30
Жим,2026-01-05,1.0,80.0,3.0,88.0,31
Плечи,2026-01-05,1.0,4.0,24.0,7.2,32
Подтягивания,2026-01-05,3.0,69.0,12.0,96.6,33
Сундук,2026-01-05,1.0,75.0,10.0,100.0,34
Трицепс,2026-01-05,5.0,80.0,12.0,112.0,35
Жим гантелей 30°,2026-01-07,1.0,14.0,12.0,19.599999999999998,36
Зажим яйцами,2026-01-07,1.0,90.0,12.0,125.99999999999999,37
Зажим яйцами,2026-01-07,1.0,100.0,10.0,133.33333333333331,38
Становая сумо,2026-01-07,1.0,90.0,4.0,102.0,39
Становая сумо,2026-01-07,1.0,100.0,3.0,110.00000000000001,40
Становая сумо,2026-01-07,1.0,110.0,2.0,117.33333333333333,41
Становая сумо,2026-01-07,1.0,120.0,1.0,124.00000000000001,42
Трицепс,2026-01-07,1.0,100.0,20.0,166.66666666666666,43
Выходы силой,2026-01-09,3.0,69.0,3.0,75.9,44
Жим,2026-01-09,1.0,70.0,4.0,79.33333333333333,45
Жим,2026-01-09,4.0,80.0,2.0,85.33333333333333,46
Жим,2026-01-09,1.0,80.0,3.0,88.0,47
Жим,2026-01-09,1.0,85.0,2.0,90.66666666666667,48
Подтягивания обратные,2026-01-09,1.0,69.0,12.0,96.6,49
Подтягивания широкие,2026-01-09,2.0,69.0,12.0,96.6,50
Пресс -20°,2026-01-09,2.0,69.0,15.0,103.5,51
Жим гантелей 30°,2026-01-11,1.0,18.0,12.0,25.2,52
Зажим яйцами,2026-01-11,1.0,110.0,12.0,154.0,53
Становая сумо,2026-01-11,1.0,90.0,4.0,102.0,54
Становая сумо,2026-01-11,4.0,100.0,3.0,110.00000000000001,55
Трицепс,2026-01-11,1.0,100.0,15.0,150.0,56
Тяга верхнего блока,2026-01-11,1.0,115.0,12.0,161.0,57
Тяга верхнего блока,2026-01-11,1.0,130.0,12.0,182.0,58
Выходы,2026-01-13,1.0,69.0,6.0,82.8,59
Выходы,2026-01-13,1.0,69.0,7.0,85.10000000000001,60
Выходы,2026-01-13,1.0,69.0,8.0,87.39999999999999,61
Жим,2026-01-13,5.0,70.0,5.0,81.66666666666667,62
Зажим яйцами,2026-01-13,1.0,110.0,12.0,154.0,63
Подтягивания обратные,2026-01-13,1.0,69.0,14.0,101.2,64
Подтягивания прямые,2026-01-13,1.0,69.0,13.0,98.9,65
Подтягивания широкие,2026-01-13,1.0,69.0,10.0,92.0,66
Тяга горизонтальная,2026-01-13,1.0,115.0,12.0,161.0,67
Тяга горизонтальная,2026-01-13,1.0,130.0,11.0,177.66666666666666,68
Тяга горизонтальная,2026-01-13,1.0,145.0,9.0,188.5,69
Бабочка,2026-01-15,1.0,45.0,12.0,62.99999999999999,70
Бабочка,2026-01-15,1.0,55.0,11.5,76.08333333333333,71
Бабочка,2026-01-15,1.0,59.0,10.0,78.66666666666666,72
Бицепс,2026-01-15,1.0,12.0,24.0,21.6,73
Бицепс,2026-01-15,1.0,14.0,24.0,25.2,74
Бицепс,2026-01-15,1.0,16.0,21.0,27.2,75
Плечи,2026-01-15,1.0,3.0,12.0,4.199999999999999,76
Плечи,2026-01-15,1.0,4.0,12.0,5.6,77
Становая сумо,2026-01-15,1.0,93.0,4.0,105.39999999999999,78
Становая сумо,2026-01-15,1.0,103.0,3.0,113.30000000000001,79
Становая сумо,2026-01-15,1.0,113.0,2.0,120.53333333333333,80
Становая сумо,2026-01-15,1.0,123.0,1.0,127.10000000000001,81
Становая сумо,2026-01-15,1.0,128.0,1.0,132.26666666666668,82
Становая сумо,2026-01-15,1.0,133.0,1.0,137.43333333333334,83
Становая сумо,2026-01-15,1.0,138.0,1.0,142.60000000000002,84
Трицепс,2026-01-15,1.0,120.0,12.0,168.0,85
Трицепс,2026-01-15,1.0,140.0,12.0,196.0,86
Пресс -20°,2026-01-16,1.0,69.0,20.0,114.99999999999999,87
Пресс -20°,2026-01-16,2.0,69.0,25.0,126.50000000000001,88
Жим,2026-01-17,1.0,70.0,5.0,81.66666666666667,89
Жим,2026-01-17,1.0,80.0,3.0,88.0,90
Жим,2026-01-17,4.0,85.0,2.0,90.66666666666667,91
Жим,2026-01-17,1.0,90.0,1.0,93.00000000000001,92
Жим,2026-01-17,1.0,95.0,1.0,98.16666666666667,93
Подтягивания,2026-01-17,1.0,69.0,10.0,92.0,94
Подтягивания,2026-01-17,1.0,79.0,6.0,94.8,95
Подтягивания,2026-01-17,1.0,89.0,5.0,103.83333333333334,96
Бицепс ez,2026-01-19,1.0,25.0,15.0,37.5,97
Бицепс ez,2026-01-19,1.0,33.0,10.0,44.0,98
Зажим яйцами,2026-01-19,1.0,110.0,12.0,154.0,99
Становая сумо,2026-01-19,1.0,93.0,4.0,105.39999999999999,100
Становая сумо,2026-01-19,1.0,103.0,4.0,116.73333333333333,101
Становая сумо,2026-01-19,1.0,113.0,3.0,124.30000000000001,102
Становая сумо,2026-01-19,5.0,115.0,3.0,126.50000000000001,103
Трицепс,2026-01-19,1.0,100.0,15.0,150.0,104
Трицепс,2026-01-19,1.0,120.0,15.0,180.0,105
Жим,2026-01-21,1.0,65.0,11.5,89.91666666666667,106
Жим,2026-01-21,1.0,70.0,5.0,81.66666666666667,107
Жим,2026-01-21,1.0,75.0,6.0,90.0,108
Жим,2026-01-21,1.0,80.0,5.0,93.33333333333334,109
Жим,2026-01-21,1.0,85.0,4.0,96.33333333333333,110
Присед,2026-01-21,1.0,20.0,12.0,28.0,111
Присед,2026-01-21,1.0,30.0,12.0,42.0,112
Присед,2026-01-21,3.0,40.0,12.0,56.0,113
Пресс -20°,2026-01-23,2.0,69.0,25.0,126.50000000000001,114
Становая сумо,2026-01-23,1.0,90.0,4.0,102.0,115
Становая сумо,2026-01-23,1.0,100.0,3.0,110.00000000000001,116
Становая сумо,2026-01-23,1.0,110.0,2.0,117.33333333333333,117
Становая сумо,2026-01-23,3.0,120.0,1.0,124.00000000000001,118
Бицепс,2026-01-25,1.0,14.0,24.0,25.2,119
Бицепс,2026-01-25,1.0,16.0,21.0,27.2,120
Жим,2026-01-25,1.0,70.0,5.0,81.66666666666667,121
Жим,2026-01-25,1.0,80.0,4.0,90.66666666666666,122
Жим,2026-01-25,1.0,88.0,3.0,96.80000000000001,123
Жим,2026-01-25,1.0,95.0,1.0,98.16666666666667,124
Жим,2026-01-25,1.0,100.0,1.0,103.33333333333334,125
Трицепс,2026-01-25,1.0,120.0,12.0,168.0,126
Трицепс,2026-01-25,1.0,160.0,11.0,218.66666666666669,127
Тяга верхнего блока,2026-01-25,1.0,130.0,12.0,182.0,128
Кисти Л,2026-01-27,1.0,50.0,6.0,60.0,129
Кисти Л,2026-01-27,2.0,50.0,12.0,70.0,130
Кисти Л,2026-01-27,1.0,70.0,12.0,98.0,131
Кисти Л,2026-01-27,1.0,80.0,12.0,112.0,132
Кисти Л,2026-01-27,1.0,90.0,12.0,125.99999999999999,133
Кисти Л,2026-01-27,1.0,100.0,4.0,113.33333333333333,134
Кисти П,2026-01-27,3.0,50.0,12.0,70.0,135
Кисти П,2026-01-27,1.0,70.0,12.0,98.0,136
Кисти П,2026-01-27,1.0,80.0,12.0,112.0,137
Кисти П,2026-01-27,1.0,100.0,7.0,123.33333333333334,138
Разводка,2026-01-27,1.0,10.0,12.0,14.0,139
Разводка,2026-01-27,1.0,12.0,12.0,16.799999999999997,140
Становая сумо,2026-01-27,2.0,90.0,4.0,102.0,141
Становая сумо,2026-01-27,1.0,100.0,4.0,113.33333333333333,142
Становая сумо,2026-01-27,1.0,110.0,4.0,124.66666666666666,143
Становая сумо,2026-01-27,1.0,110.0,8.0,139.33333333333331,144
Становая сумо,2026-01-27,1.0,120.0,4.0,136.0,145
Сундук,2026-01-27,1.0,85.0,12.0,118.99999999999999,146
Жим,2026-01-29,3.0,60.0,8.0,76.0,147
Становая сумо,2026-01-30,1.0,90.0,4.0,102.0,148
Становая сумо,2026-01-30,1.0,100.0,4.0,113.33333333333333,149
Бицепс,2026-02-02,1.0,12.0,24.0,21.6,150
Разводка,2026-02-02,1.0,10.0,12.0,14.0,151
Разводка,2026-02-02,2.0,14.0,11.0,19.133333333333333,152
Трицепс,2026-02-02,1.0,100.0,15.0,150.0,153
Трицепс,2026-02-02,1.0,160.0,11.0,218.66666666666669,154
Тяга горизонтальная,2026-02-02,1.0,145.0,12.0,203.0,155
Тяга горизонтальная,2026-02-02,1.0,160.0,10.5,216.0,156
Бабочка,2026-02-04,1.0,45.0,12.0,62.99999999999999,157
Бабочка,2026-02-04,1.0,59.0,12.0,82.6,158
Бабочка обратная,2026-02-04,1.0,32.0,12.0,44.8,159
Бабочка обратная,2026-02-04,1.0,41.0,12.0,57.4,160
Бицепс,2026-02-04,1.0,12.0,24.0,21.6,161
Зажим яйцами,2026-02-04,1.0,110.0,12.0,154.0,162
Кисти Л,2026-02-04,1.0,50.0,12.0,70.0,163
Кисти Л,2026-02-04,1.0,80.0,12.0,112.0,164
Кисти Л,2026-02-04,1.0,90.0,6.0,108.0,165
Кисти Л,2026-02-04,1.0,100.0,6.0,120.0,166
Кисти П,2026-02-04,1.0,50.0,12.0,70.0,163
Кисти П,2026-02-04,1.0,80.0,12.0,112.0,164
Кисти П,2026-02-04,1.0,90.0,6.0,108.0,165
Кисти П,2026-02-04,1.0,100.0,6.0,120.0,166
Разгибание ног,2026-02-04,3.0,20.0,12.0,28.0,167
Трицепс,2026-02-04,1.0,120.0,12.0,168.0,168
Трицепс,2026-02-04,1.0,140.0,12.0,196.0,169
Бабочка,2026-02-06,1.0,50.0,12.0,70.0,170
Бабочка,2026-02-06,1.0,59.0,11.0,80.63333333333334,171
Становая сумо,2026-02-06,1.0,90.0,4.0,102.0,172
Становая сумо,2026-02-06,3.0,100.0,2.0,106.66666666666667,173
Бабочка,2026-02-08,1.0,45.0,12.0,62.99999999999999,174
Бабочка,2026-02-08,1.0,57.0,12.0,79.8,175
Бабочка обратная,2026-02-08,1.0,38.0,12.0,53.199999999999996,176
Бабочка обратная,2026-02-08,1.0,45.0,11.5,62.25,177
Зажим яйцами,2026-02-08,1.0,125.0,12.0,175.0,178
Зажим яйцами,2026-02-08,1.0,140.0,12.0,196.0,179
Зажим яйцами,2026-02-08,1.0,155.0,12.0,217.0,180
Кисти Л,2026-02-08,1.0,50.0,24.0,90.0,181
Кисти Л,2026-02-08,1.0,80.0,12.0,112.0,182
Кисти Л,2026-02-08,1.0,100.0,12.0,140.0,183
Кисти Л,2026-02-08,1.0,110.0,7.0,135.66666666666669,184
Кисти П,2026-02-08,1.0,50.0,24.0,90.0,181
Кисти П,2026-02-08,1.0,80.0,12.0,112.0,182
Кисти П,2026-02-08,1.0,100.0,12.0,140.0,183
Кисти П,2026-02-08,1.0,110.0,7.0,135.66666666666669,184
Разгибание ног,2026-02-08,1.0,20.0,12.0,28.0,185
Разгибание ног,2026-02-08,1.0,23.0,12.0,32.199999999999996,186
Разгибание ног,2026-02-08,1.0,25.0,12.0,35.0,187
Шраги,2026-02-08,1.0,12.0,12.0,16.799999999999997,188
Шраги,2026-02-08,1.0,14.0,12.0,19.599999999999998,189
Шраги,2026-02-08,1.0,16.0,12.0,22.4,190
Бицепс,2026-02-10,1.0,12.0,24.0,21.6,191
Бицепс,2026-02-10,1.0,16.0,24.0,28.8,192
Бицепс,2026-02-10,1.0,18.0,15.0,27.0,193
Разводка,2026-02-10,1.0,12.0,12.0,16.799999999999997,194
Разводка,2026-02-10,1.0,14.0,12.0,19.599999999999998,195
Становая сумо,2026-02-10,1.0,100.0,3.0,110.00000000000001,196
Становая сумо,2026-02-10,1.0,110.0,3.0,121.00000000000001,197
Становая сумо,2026-02-10,1.0,110.0,4.0,124.66666666666666,198
Становая сумо,2026-02-10,1.0,120.0,2.0,128.0,199
Становая сумо,2026-02-10,1.0,130.0,2.0,138.66666666666666,200
Становая сумо,2026-02-10,1.0,140.0,0.0,,201
Трицепс,2026-02-10,1.0,80.0,20.0,133.33333333333331,202
Трицепс,2026-02-10,1.0,100.0,20.0,166.66666666666666,203
Трицепс,2026-02-10,1.0,120.0,15.0,180.0,204
Трицепс,2026-02-10,1.0,135.0,15.0,202.5,205
Бабочка,2026-02-12,1.0,59.0,12.0,82.6,206
Бабочка,2026-02-12,1.0,64.0,12.0,89.6,207
Бицепс,2026-02-12,1.0,12.0,24.0,21.6,208
Зажим яйцами,2026-02-12,1.0,90.0,12.0,125.99999999999999,209
Зажим яйцами,2026-02-12,1.0,140.0,12.0,196.0,210
Зажим яйцами,2026-02-12,1.0,155.0,10.5,209.25,211
Разгибание ног,2026-02-12,1.0,20.0,12.0,28.0,212
Разгибание ног,2026-02-12,1.0,23.0,12.0,32.199999999999996,213
Разгибание ног,2026-02-12,1.0,27.0,12.0,37.8,214
Разгибание ног,2026-02-12,1.0,29.0,12.0,40.599999999999994,215
Трицепс,2026-02-12,1.0,110.0,15.0,165.0,216
Тяга верхнего блока,2026-02-12,1.0,130.0,12.0,182.0,217
Тяга горизонтальная,2026-02-12,1.0,145.0,12.0,203.0,218
Кисти Л,2026-02-14,1.0,50.0,27.0,95.0,219
Кисти Л,2026-02-14,1.0,80.0,12.0,112.0,220
Кисти Л,2026-02-14,1.0,90.0,12.0,125.99999999999999,221
Кисти Л,2026-02-14,1.0,100.0,12.0,140.0,222
Кисти Л,2026-02-14,1.0,110.0,2.0,117.33333333333333,223
Кисти П,2026-02-14,1.0,50.0,27.0,95.0,219
Кисти П,2026-02-14,1.0,80.0,12.0,112.0,220
Кисти П,2026-02-14,1.0,90.0,12.0,125.99999999999999,221
Кисти П,2026-02-14,1.0,100.0,12.0,140.0,222
Кисти П,2026-02-14,1.0,110.0,7.0,135.66666666666669,224
Сундук,2026-02-14,1.0,70.0,12.0,98.0,225
Сундук,2026-02-14,1.0,80.0,9.0,104.0,226
Сундук,2026-02-14,1.0,95.0,7.0,117.16666666666667,227
Тяга горизонтальная,2026-02-14,1.0,115.0,12.0,161.0,228
Тяга горизонтальная,2026-02-14,1.0,145.0,8.5,186.08333333333331,229
Тяга горизонтальная,2026-02-14,1.0,160.0,7.5,200.0,230
Бабочка,2026-02-16,1.0,55.0,12.0,77.0,231
Бабочка,2026-02-16,1.0,64.0,11.0,87.46666666666667,232
Бабочка,2026-02-16,1.0,68.0,8.5,87.26666666666665,233
Бабочка обратная,2026-02-16,1.0,36.0,12.0,50.4,234
Бабочка обратная,2026-02-16,1.0,45.0,11.5,62.25,235
Бицепс,2026-02-16,1.0,12.0,24.0,21.6,236
Бицепс,2026-02-16,1.0,16.0,18.0,25.6,237
Бицепс,2026-02-16,1.0,20.0,12.0,28.0,238
Пресс -20°,2026-02-16,2.0,69.0,20.0,114.99999999999999,239
Трицепс,2026-02-16,1.0,90.0,15.0,135.0,240
Трицепс,2026-02-16,1.0,120.0,15.0,180.0,241
Трицепс,2026-02-16,1.0,135.0,13.5,195.75,242
Трицепс,2026-02-16,1.0,150.0,10.5,202.5,243
Жим,2026-02-19,1.0,80.0,3.0,88.0,244
Жим,2026-02-19,5.0,90.0,1.0,93.00000000000001,245
Зажим яйцами,2026-02-19,1.0,125.0,12.0,175.0,246
Зажим яйцами,2026-02-19,1.0,155.0,12.0,217.0,247
Зажим яйцами,2026-02-19,1.0,185.0,10.0,246.66666666666666,248
Тяга горизонтальная,2026-02-19,1.0,130.0,12.0,182.0,249
Тяга горизонтальная,2026-02-19,1.0,160.0,9.5,210.66666666666666,250
Тяга горизонтальная,2026-02-19,1.0,175.0,5.0,204.16666666666669,251
Бицепс,2026-02-21,1.0,12.0,24.0,21.6,252
Бицепс,2026-02-21,1.0,16.0,16.0,24.53333333333333,253
Становая сумо,2026-02-21,1.0,90.0,3.0,99.00000000000001,254
Становая сумо,2026-02-21,1.0,103.0,3.0,113.30000000000001,255
Становая сумо,2026-02-21,1.0,113.0,3.0,124.30000000000001,256
Становая сумо,2026-02-21,1.0,116.0,1.0,119.86666666666667,257
Становая сумо,2026-02-21,2.0,123.0,2.0,131.2,258
Сундук,2026-02-21,1.0,75.0,13.0,107.5,259
Трицепс,2026-02-21,2.0,110.0,15.0,165.0,260
Жим,2026-02-23,1.0,60.0,10.0,80.0,261
Жим,2026-02-23,1.0,70.0,6.0,84.0,262
Жим,2026-02-23,2.0,70.0,8.0,88.66666666666666,263
Зажим яйцами,2026-02-23,1.0,140.0,12.0,196.0,264
Зажим яйцами,2026-02-23,1.0,170.0,12.0,237.99999999999997,265
Зажим яйцами,2026-02-23,1.0,215.0,8.0,272.3333333333333,266
Трицепс,2026-02-23,1.0,100.0,12.0,140.0,267
Трицепс,2026-02-23,1.0,135.0,12.0,189.0,268
Трицепс,2026-02-23,1.0,165.0,8.0,209.0,269
Бабочка,2026-02-25,1.0,50.0,12.0,70.0,270
Бабочка,2026-02-25,1.0,64.0,11.0,87.46666666666667,271
Бицепс,2026-02-25,1.0,18.0,14.0,26.400000000000002,272
Кисти Л,2026-02-25,1.0,60.0,24.0,108.0,273
Кисти Л,2026-02-25,1.0,70.0,22.0,121.33333333333334,274
Кисти Л,2026-02-25,1.0,80.0,20.0,133.33333333333331,275
Кисти Л,2026-02-25,1.0,90.0,18.0,144.0,276
Кисти П,2026-02-25,1.0,60.0,24.0,108.0,273
Кисти П,2026-02-25,1.0,70.0,22.0,121.33333333333334,274
Кисти П,2026-02-25,1.0,80.0,20.0,133.33333333333331,275
Кисти П,2026-02-25,1.0,90.0,18.0,144.0,276
Подтягивания,2026-02-25,4.0,69.0,8.0,87.39999999999999,277
Разгибание ног,2026-02-25,3.0,20.0,12.0,28.0,278
Разгибание ног,2026-02-25,1.0,25.0,12.0,35.0,279
Трицепс,2026-02-25,1.0,150.0,12.0,210.0,280
Трицепс,2026-02-25,1.0,165.0,11.5,228.25,281
Тяга горизонтальная,2026-02-25,1.0,160.0,7.5,200.0,282
Жим,2026-02-27,1.0,70.0,4.0,79.33333333333333,283
